,y_test_original_5_3,y_test_model_5_3
431,37002.44,38756.215
432,40782.74,36299.64
433,37304.69,36005.094
434,37536.63,35334.18
435,34770.58,34446.277
436,38705.98,33423.65
437,38402.22,34013.89
438,39294.2,34803.07
439,38436.97,35168.61
440,35697.61,35252.965
441,34616.07,34030.17
442,35678.13,32860.625
443,37332.85,32748.26
444,36684.92,33467.36
445,37575.18,33689.12
446,39208.77,34011.973
447,36894.41,34912.67
448,35551.96,34502.15
449,35862.38,33510.953
450,33560.71,33194.703
451,33472.63,32187.371
452,37345.12,31458.107
453,36702.6,32797.02
454,37334.4,33499.902
455,35552.52,33815.215
456,39097.86,33459.703
457,40218.48,34333.383
458,40406.27,35630.855
459,38347.06,36127.902
460,38053.5,35639.742
461,35787.24,35047.805
462,35615.87,33997.91
463,35698.3,33196.906
464,31676.69,33019.17
465,32505.66,31354.604
466,33723.03,30535.6
467,34662.44,30969.91
468,31637.78,31524.262
469,32186.28,30735.666
470,34649.64,30220.121
471,34434.34,31183.275
472,35867.78,31673.531
473,35040.84,32373.865
474,33572.12,32570.07
475,33897.05,31854.65
476,34668.55,31587.074
477,35287.78,31833.943
478,33746.0,32236.428
479,34235.19,31880.91
480,33855.33,31721.28
481,32877.37,31637.3
482,33798.01,31097.629
483,33520.52,31180.523
484,34240.19,31243.713
485,33155.85,31458.727
486,32702.029999999995,31268.723
487,32822.35,30817.357
488,31780.729999999996,30697.072
489,31421.54,30226.85
490,31533.07,29766.33
491,31796.810000000005,29636.076
492,30817.83,29687.076
493,29807.35,29360.84
494,32110.69,28695.508
495,32313.11,29263.33
496,33581.55,29884.49
497,34292.45,30560.398
498,35350.19,31348.979
499,37337.53,32065.256
500,39406.94,33247.547
501,39995.91,34690.03
502,40008.42,35644.402
503,42235.55,36022.035
504,41626.2,36976.375
505,39974.9,37354.27
506,39201.95,36716.094
507,38152.98,36065.926
508,39747.51,35350.453
509,40869.55,35547.152
510,42816.5,36288.297
511,44555.8,37343.164
512,43798.12,38602.137
513,46365.4,38913.0
514,45585.03,39802.785
515,45593.64,40182.496
516,44428.29,40089.71
517,47793.32,39740.29
518,47096.95,40610.426
519,47047.0,41119.85
520,46004.48,41046.695
521,44695.36,40760.87
522,44801.19,40028.383
523,46717.58,39698.668
524,49339.18,40297.527
525,48905.49,41624.996
526,49321.65,42177.93
527,49546.15,42392.29
528,47706.12,42630.55
529,48960.79,42061.63
530,46942.22,42086.816
531,49058.67,41619.65
532,48902.4,41865.523
533,48829.83,42259.95
534,47054.98,42220.445
535,47166.69,41661.84
536,48847.03,41278.004
537,49327.72,41802.254
538,50025.37,42302.223
539,49944.63,42721.83
540,51753.41,42926.16
541,52633.54,43554.855
542,46811.13,44266.51
543,46091.39,42590.582
544,46391.42,41106.832
545,44883.91,40822.574
546,45201.46,40133.047
547,46063.27,39868.29
548,44963.07,40187.977
549,47092.49,39969.293
550,48176.35,40502.2
551,47783.36,41367.863
552,47267.52,41543.383
553,48278.36,41393.906
554,47260.22,41640.14
555,42843.8,41491.742
556,40693.68,39743.598
557,43574.51,37889.883
558,44895.1,38123.594
559,42839.75,39031.81
560,42716.59,38685.645
561,43208.54,38311.633
562,42235.73,38404.98
563,41034.54,38088.562
564,41564.36,37428.004
