,sharp_lstmrl_5_2
576,1.71143
577,1.7187066
578,1.715443
579,1.7185687
580,1.7187572
581,1.7176532
582,1.7206247
583,1.7175481
584,1.7213054
585,1.719759
586,1.7214055
587,1.7216218
588,1.7211436
589,1.7228605
590,1.7213776
591,1.7232375
592,1.7228738
593,1.723246
594,1.7241406
595,1.72357
596,1.7247143
597,1.7242525
598,1.7248152
599,1.7252098
600,1.7249526
601,1.7257962
602,1.7256267
603,1.7259719
604,1.7263615
605,1.7262415
606,1.7267739
607,1.7267872
608,1.7269591
609,1.7273364
610,1.7272869
611,1.7276218
612,1.7278115
613,1.7278614
614,1.7281926
615,1.7282747
616,1.7284304
617,1.7286857
618,1.7287493
619,1.7289554
620,1.7291341
621,1.7292219
622,1.7294331
623,1.7295634
624,1.7296807
625,1.7298725
626,1.7299814
627,1.7301196
628,1.7302858
629,1.7303888
630,1.7305348
631,1.7306787
632,1.7307853
633,1.7309297
634,1.7310575
635,1.7311676
636,1.7313064
637,1.7314236
638,1.7315363
639,1.7316667
640,1.7317771
641,1.7318904
642,1.7320127
643,1.7321194
644,1.7322314
645,1.7323463
646,1.7324499
647,1.7325598
648,1.7326682
649,1.7327695
650,1.732876
651,1.7329793
652,1.7330786
653,1.7331817
654,1.733281
655,1.7333777
656,1.7334774
657,1.7335727
658,1.7336671
659,1.7337632
660,1.7338555
661,1.7339478
662,1.7340404
663,1.7341301
664,1.7342204
665,1.7343094
666,1.7343967
667,1.7344841
668,1.7345705
669,1.7346557
670,1.7347406
671,1.7348247
672,1.7349074
673,1.7349902
674,1.7350717
675,1.7351526
676,1.735233
677,1.7353126
678,1.7353914
679,1.7354697
680,1.7355472
681,1.7356238
682,1.7357004
683,1.735776
684,1.735851
685,1.7359257
686,1.7359996
687,1.7360724
688,1.7361456
689,1.7362179
690,1.7362895
691,1.7363605
692,1.7364311
693,1.7365015
694,1.736571
695,1.73664
696,1.7367086
697,1.7367768
698,1.7368443
699,1.7369117
700,1.7369783
701,1.7370448
702,1.7371104
703,1.7371757
704,1.7372407
705,1.7373049
706,1.7373693
707,1.7374328
708,1.7374959
709,1.7375588
710,1.7376213
711,1.7376832
712,1.7377449
713,1.7378061
714,1.7378669
715,1.7379276
716,1.7379874
717,1.7380472
718,1.7381068
719,1.738166
720,1.7382247
721,1.7382835
722,1.7383415
723,1.7383996
724,1.7384573
725,1.7385149
726,1.7385722
727,1.7386291
728,1.7386861
729,1.7387426
730,1.7387992
731,1.7388555
732,1.7389116
733,1.7389675
734,1.7390234
735,1.7390795
736,1.7391351
737,1.7391907
738,1.7392465
739,1.7393022
740,1.7393575
741,1.7394133
742,1.7394692
743,1.739525
744,1.739581
745,1.7396373
746,1.7396938
747,1.7397507
748,1.7398081
749,1.7398661
750,1.7399246
751,1.7399839
752,1.740044
753,1.7401059
754,1.7401687
755,1.7402344
756,1.7403022
757,1.7403731
758,1.7404487
759,1.7405297
760,1.7406179
761,1.7407155
762,1.7408253
763,1.7409499
764,1.7410924
765,1.7412553
766,1.74144
767,1.7416481
768,1.7418791
769,1.742132
770,1.7424053
771,1.7426947
772,1.7429953
773,1.7433001
774,1.7436044
775,1.7439046
776,1.7441975
777,1.7444793
778,1.7447486
779,1.7450005
780,1.7452196
781,1.7453102
782,1.7445859
783,1.7386352
784,1.6819474
785,1.5982784
786,1.526871
787,1.5221568
788,1.5349685
789,1.5979396
790,1.581998
791,1.4528804
792,1.4357289
793,1.4458207
794,1.424036
795,1.4452035
796,1.494499
797,1.5323367
798,1.4944694
799,1.5425639
800,1.544452
801,1.5662193
802,1.4815214
803,1.5572404
804,1.5810605
805,1.5284843
806,1.5398343
807,1.6056386
808,1.6568558
809,1.6844572
810,1.6635306
811,1.6644076
812,1.6642104
813,1.6640002
814,1.6664863
815,1.6765826
816,1.6791173
817,1.6860468
818,1.68776
819,1.6915886
820,1.6955994
821,1.7024982
822,1.705818
823,1.7058326
824,1.7161535
825,1.7126665
826,1.7172313
827,1.7236309
828,1.7176386
829,1.7284443
830,1.7257706
831,1.7342432
832,1.7262611
833,1.7334982
834,1.7353954
835,1.731187
836,1.739369
837,1.7363218
838,1.7384446
839,1.742111
840,1.7360699
841,1.7395109
842,1.7423589
843,1.7389119
844,1.7431651
845,1.7430805
846,1.7438655
847,1.7458819
848,1.7445177
849,1.7464473
850,1.745539
851,1.746784
852,1.7466223
853,1.747299
854,1.7474568
855,1.7479173
856,1.7482948
857,1.7483345
858,1.7488823
859,1.748631
860,1.749289
861,1.7489877
862,1.7494733
863,1.7493314
864,1.7496941
865,1.7497705
866,1.7499719
867,1.7501489
868,1.7502428
869,1.7504771
870,1.7505317
871,1.7507423
872,1.7507727
873,1.7509639
874,1.7510307
875,1.7512453
876,1.7514049
877,1.7517644
878,1.752179
879,1.7525334
880,1.7525687
881,1.7526827
882,1.7529627
883,1.7532653
884,1.7535183
885,1.7537154
886,1.7538918
887,1.7540004
888,1.7540838
889,1.7541431
890,1.7542597
891,1.7543848
892,1.7545304
893,1.7546262
894,1.7547276
895,1.754821
896,1.7549723
897,1.7551631
898,1.7554753
899,1.7559595
900,1.7562758
901,1.7568368
902,1.7575896
903,1.7580698
904,1.7587826
905,1.7591108
906,1.7596653
907,1.7602301
908,1.7604483
909,1.7609122
910,1.7609699
911,1.761348
912,1.7615776
913,1.7618983
914,1.7620221
915,1.7622769
916,1.7623521
917,1.7624971
918,1.7626188
919,1.7627549
920,1.762843
921,1.7629198
922,1.7630386
923,1.7631158
924,1.7632449
925,1.7633375
926,1.7634801
927,1.7635669
928,1.7636838
929,1.7637796
930,1.7639072
931,1.764005
932,1.7641149
933,1.7642035
934,1.7643043
935,1.7643807
936,1.7644659
937,1.7645329
938,1.7646115
939,1.7646699
940,1.7647345
941,1.7647837
942,1.764844
943,1.7648947
944,1.7649529
945,1.765003
946,1.7650596
947,1.7651112
948,1.7651676
949,1.7652192
950,1.7652746
951,1.7653261
952,1.76538
953,1.765429
954,1.7654786
955,1.7655244
956,1.7655712
957,1.7656147
958,1.7656585
959,1.7656994
960,1.7657406
961,1.76578
962,1.7658194
963,1.7658573
964,1.7658955
965,1.7659322
966,1.7659695
967,1.7660053
968,1.7660409
969,1.7660758
970,1.7661105
971,1.7661446
972,1.7661784
973,1.7662116
974,1.7662443
975,1.7662766
976,1.7663081
977,1.7663395
978,1.76637
979,1.7664003
980,1.7664304
981,1.7664602
982,1.7664889
983,1.7665175
984,1.7665458
985,1.7665737
986,1.7666011
987,1.7666281
988,1.7666551
989,1.7666814
990,1.7667075
991,1.7667335
992,1.766759
993,1.7667844
994,1.7668093
995,1.7668339
996,1.7668588
997,1.7668829
998,1.7669067
999,1.7669302
