,sharp_rrl_15_1
655,3.2042575
656,3.204456
657,3.204656
658,3.2048573
659,3.2050612
660,3.2052681
661,3.2054787
662,3.2056932
663,3.2059138
664,3.2061405
665,3.2063744
666,3.2066178
667,3.2068713
668,3.2071362
669,3.2074146
670,3.2077076
671,3.208017
672,3.2083428
673,3.208686
674,3.209045
675,3.209419
676,3.2098053
677,3.2102013
678,3.2106059
679,3.2110157
680,3.2114298
681,3.2118497
682,3.2122753
683,3.2127094
684,3.2131565
685,3.213622
686,3.214112
687,3.214636
688,3.2152069
689,3.2158408
690,3.2165625
691,3.217406
692,3.2184198
693,3.219673
694,3.2212582
695,3.223286
696,3.2258465
697,3.2289274
698,3.2323027
699,3.2355995
700,3.2386272
701,3.2415507
702,3.2445195
703,3.247339
704,3.2497308
705,3.251702
706,3.253493
707,3.2553787
708,3.2576506
709,3.2604847
710,3.2634912
711,3.2661827
712,3.2686074
713,3.2702913
714,3.270622
715,3.2624648
716,3.2190833
717,2.7343647
718,3.0586088
719,2.6489365
720,3.1592848
721,2.9263306
722,2.8220997
723,2.6883934
724,2.8594396
725,2.7261384
726,2.6631625
727,3.0332434
728,2.589405
729,2.8248937
730,2.898633
731,2.7101882
732,2.9384947
733,2.9328177
734,2.878112
735,3.1208758
736,2.9570072
737,2.8089988
738,3.1232424
739,3.0647204
740,2.899912
741,2.8502002
742,2.8695128
743,2.920413
744,2.9382217
745,2.9877777
746,3.0557544
747,3.0681446
748,3.0798776
749,3.0867445
750,3.1479526
751,3.1632884
752,3.168356
753,3.1999533
754,3.2079303
755,3.2123582
756,3.2338405
757,3.2472992
758,3.2677681
759,3.2868917
760,3.286825
761,3.3067896
762,3.3128529
763,3.3095765
764,3.3102484
765,3.3241816
766,3.3274
767,3.3308704
768,3.340907
769,3.353651
770,3.350894
771,3.3490367
772,3.3696482
773,3.3703957
774,3.3704212
775,3.3790028
776,3.384818
777,3.3918087
778,3.3955314
779,3.399852
780,3.4060833
781,3.405759
782,3.4078047
783,3.4190297
784,3.4172463
785,3.4186928
786,3.426264
787,3.4222386
788,3.42428
789,3.4330041
790,3.428032
791,3.4355333
792,3.4397216
793,3.4386387
794,3.4469824
795,3.4440193
796,3.4489458
797,3.4525905
798,3.4520307
799,3.4584606
800,3.4578073
801,3.4617362
802,3.4634213
803,3.4642863
804,3.467048
805,3.466912
806,3.469939
807,3.4700828
808,3.4721076
809,3.472716
810,3.4740927
811,3.4756386
812,3.4763186
813,3.4780214
814,3.4786143
815,3.4802375
816,3.480913
817,3.4819937
818,3.4833722
819,3.4839263
820,3.4854329
821,3.4864023
822,3.4872766
823,3.488654
824,3.4893773
825,3.4904666
826,3.4915102
827,3.4923007
828,3.4933949
829,3.49421
830,3.495068
831,3.496027
832,3.4967732
833,3.4976501
834,3.498487
835,3.499221
836,3.5000753
837,3.5008361
838,3.5015762
839,3.5023837
840,3.5030892
841,3.5038455
842,3.5045776
843,3.5052702
844,3.5060143
845,3.5066988
846,3.5074131
847,3.508123
848,3.50882
849,3.509557
850,3.5102801
851,3.5110583
852,3.5118854
853,3.5128095
854,3.513945
855,3.515473
856,3.5177307
857,3.5191925
858,3.5208285
859,3.5217338
860,3.52175
861,3.5166945
862,3.5110857
863,3.4801846
864,3.4810734
865,3.505015
866,3.4424615
867,3.4931529
868,3.4316564
869,3.4690256
870,3.4224613
871,3.2506316
872,3.4791987
873,3.369392
874,3.415992
875,3.3454008
876,3.4519396
877,3.355848
878,3.3609552
879,3.1843135
880,3.3473644
881,3.4686966
882,3.453152
883,3.4615958
884,3.493388
885,3.451378
886,3.4612405
887,3.3828683
888,3.4895084
889,3.2560925
890,3.402707
891,3.0645654
892,3.3642223
893,3.1737237
894,3.2660537
895,3.0471995
896,3.349553
897,3.187066
898,3.3333337
899,3.4380465
900,3.1741927
901,3.2401981
902,3.3113813
903,3.3236754
904,3.424097
905,3.2129273
906,3.3183243
907,3.415219
908,3.31513
909,3.2497528
910,3.389813
911,3.398026
912,3.2980866
913,3.3575366
914,3.4478376
915,3.4036527
916,3.3451807
917,3.3919175
918,3.4737833
919,3.4434254
920,3.4113803
921,3.4501092
922,3.4765172
923,3.4803803
924,3.4665473
925,3.4843853
926,3.5085578
927,3.5048347
928,3.4992955
929,3.5036037
930,3.5208783
931,3.5177898
932,3.518577
933,3.5369985
934,3.5422332
935,3.5381637
936,3.5394044
937,3.545718
938,3.5484962
939,3.5392935
940,3.5300372
941,3.5016792
942,3.5169876
943,3.5398571
944,3.5133553
945,3.531189
946,3.5449507
947,3.5481687
948,3.5434332
949,3.5412374
950,3.5543535
951,3.543463
952,3.5557103
953,3.5609565
954,3.5552695
955,3.5607781
956,3.562546
957,3.5619035
958,3.5599442
959,3.56166
960,3.5641434
961,3.568017
962,3.5676405
963,3.5684326
964,3.5699804
965,3.5698984
966,3.5696943
967,3.5712938
968,3.5730531
969,3.573884
970,3.5747402
971,3.576033
972,3.5771444
973,3.5775313
974,3.5774424
975,3.5780244
976,3.578953
977,3.5793188
978,3.5796227
979,3.5804665
980,3.581376
981,3.5818567
982,3.5821943
983,3.5826826
984,3.5832596
985,3.583734
986,3.5840313
987,3.5843973
988,3.5849645
989,3.5855348
990,3.5860314
991,3.5866687
992,3.5877016
993,3.5896866
994,3.5932438
995,3.5881777
996,3.572778
997,3.5618384
998,3.5817208
999,3.567861
